matrix_index,block_group
370459515012,370459515012
370459515013,370459515013
370459515021,370459515021
370459515031,370459515031
370459515032,370459515032
370459516011,370459516011
370459516012,370459516012
370459516013,370459516013
370459516021,370459516021
370459516022,370459516022
370459516023,370459516023
370459516024,370459516024
370479301001,370479301001
370479301002,370479301002
370479301003,370479301003
370479302001,370479302001
370479303001,370479303001
370479303002,370479303002
370479303003,370479303003
370479304001,370479304001
370479304002,370479304002
370479304003,370479304003
370479305001,370479305001
370479305002,370479305002
370479305003,370479305003
370479305004,370479305004
370479306001,370479306001
370479306002,370479306002
370479306003,370479306003
370479306004,370479306004
370479307001,370479307001
370479307002,370479307002
370479307003,370479307003
370479307004,370479307004
370479307005,370479307005
370479308001,370479308001
370479308002,370479308002
370479308003,370479308003
370479308004,370479308004
370479309001,370479309001
370479309002,370479309002
370479309003,370479309003
370479309004,370479309004
370479310001,370479310001
370479310002,370479310002
370479310003,370479310003
370479311001,370479311001
370479311002,370479311002
370479311003,370479311003
370479312011,370479312011
370479312012,370479312012
370479312013,370479312013
370479312014,370479312014
370479312021,370479312021
370479312022,370479312022
370479313011,370479313011
370479313012,370479313012
370479313021,370479313021
370479313022,370479313022
370479313023,370479313023
370499601011,370499601011
370499601012,370499601012
370499601021,370499601021
370499601022,370499601022
370499601023,370499601023
370499601024,370499601024
370499602011,370499602011
370499602012,370499602012
370499602021,370499602021
370499602022,370499602022
370499602023,370499602023
370499603011,370499603011
370499603012,370499603012
370499603021,370499603021
370499603022,370499603022
370499603023,370499603023
370499604011,370499604011
370499604012,370499604012
370499604021,370499604021
370499604022,370499604022
370499604023,370499604023
370499604031,370499604031
370499604032,370499604032
370499604033,370499604033
370499604041,370499604041
370499604042,370499604042
370499605011,370499605011
370499605012,370499605012
370499605013,370499605013
370499605021,370499605021
370499605022,370499605022
370499606001,370499606001
370499606002,370499606002
370499606003,370499606003
370499606004,370499606004
370499607001,370499607001
370499607002,370499607002
370499608001,370499608001
370499608002,370499608002
370499608003,370499608003
370499608004,370499608004
370499609001,370499609001
370499609002,370499609002
370499609003,370499609003
370499610021,370499610021
370499610022,370499610022
370499610023,370499610023
370499610024,370499610024
370499610031,370499610031
370499610032,370499610032
370499610033,370499610033
370499610041,370499610041
370499610042,370499610042
370499610043,370499610043
370499611011,370499611011
370499611012,370499611012
370499611021,370499611021
370499611022,370499611022
370499612011,370499612011
370499612012,370499612012
370499612013,370499612013
370499612021,370499612021
370499613011,370499613011
370499613012,370499613012
370499613013,370499613013
370499613021,370499613021
370499613022,370499613022
370499613023,370499613023
370499613031,370499613031
370499613032,370499613032
370499613033,370499613033
370510002001,370510002001
370510002002,370510002002
370510002003,370510002003
370510005001,370510005001
370510005002,370510005002
370510005003,370510005003
370510006001,370510006001
370510006002,370510006002
370510006003,370510006003
370510006004,370510006004
370510006005,370510006005
370510007011,370510007011
370510007012,370510007012
370510007013,370510007013
370510007021,370510007021
370510007022,370510007022
370510008001,370510008001
370510008002,370510008002
370510008003,370510008003
370510009001,370510009001
370510009002,370510009002
370510009003,370510009003
370510009004,370510009004
370510009005,370510009005
370510009006,370510009006
370510010001,370510010001
370510010002,370510010002
370510011001,370510011001
370510011002,370510011002
370510011003,370510011003
370510012001,370510012001
370510012002,370510012002
370510012003,370510012003
370510012004,370510012004
370510012005,370510012005
370510014011,370510014011
370510014012,370510014012
370510014013,370510014013
370510014021,370510014021
370510014022,370510014022
370510015001,370510015001
370510015002,370510015002
370510016031,370510016031
370510016032,370510016032
370510016033,370510016033
370510016041,370510016041
370510016042,370510016042
370510016043,370510016043
370510016044,370510016044
370510016051,370510016051
370510016052,370510016052
370510016053,370510016053
370510016061,370510016061
370510016062,370510016062
370510017011,370510017011
370510017012,370510017012
370510017021,370510017021
370510017022,370510017022
370510017023,370510017023
370510018001,370510018001
370510018002,370510018002
370510019011,370510019011
370510019012,370510019012
370510019021,370510019021
370510019022,370510019022
370510019031,370510019031
370510019032,370510019032
370510019033,370510019033
